"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Lake Mendota",2000,"iceoff",21.1123990546308,35.2705355772064,40.3023224596226,11.5386944498316,2.13793811381521,16.877644734665,0.966757632494133,0.11496542712768,0.00511838070783922,0.155059179142275,0.0307282984310937
"Lake Mendota",2000,"iceon",19.4748610607731,40.9508608310348,36.8328901821226,10.1646472815403,1.79490445986542,17.960860438605,4.41124963000185,1.20570227619901,0.124104623532432,1.14364779208631,0.596619506739968
"Lake Mendota",2001,"iceoff",21.0666688479859,35.5516540068322,40.1059887286131,11.4881673155971,2.12172136639139,16.9844758082943,1.08152336319222,0.162638605459708,0.00787577419539092,0.17701834387664,0.0449652671103112
"Lake Mendota",2001,"iceon",26.3074063280666,36.8449367328129,34.5081652978736,8.68405503479974,1.61896076937128,14.4044593940962,3.04900949586184,3.76413476348624,0.218907766221176,1.65691532221895,0.668269734755162
"Lake Mendota",2003,"iceoff",21.0219868073872,35.1071398400223,40.5151070659178,11.6109286576157,2.15527684858598,16.8550643848992,0.892641262171997,0.0248579513513968,0.000853618486246146,0.125666796356024,0.0167591670233492
"Lake Mendota",2003,"iceon",22.2183596364922,36.8093771467909,38.1132259044733,10.9393954291877,1.97546894419502,17.3775962567852,1.34896765080733,0.955278516161636,0.0285318269371497,0.284801232850609,0.085945338695916
"Lake Mendota",2004,"iceoff",20.9988416655909,35.3776750400906,40.3049656775843,11.5333758582139,2.13605620672532,16.9052338116293,1.04495491857924,0.0994581192587903,0.0067355550131645,0.172148773609812,0.0423142298401623
"Lake Mendota",2004,"iceon",21.1491511560053,41.5136903489749,35.0421426030315,9.95759982126276,1.69901711944155,18.737528572223,3.72198876921574,1.79564659142501,0.0997963058532678,0.869501719184168,0.435501755445646
"Lake Mendota",2005,"iceoff",21.2836511291246,35.3428236828132,40.0943057589536,11.4398460587577,2.11944354956882,16.8030313020818,1.04367719336458,0.24037521753268,0.0124240311325373,0.206490781229107,0.052870519914868
"Lake Mendota",2005,"iceon",20.7170427070723,36.2601018578452,39.78476825349,11.3042932599742,2.08196320519995,17.0277757327556,1.62721817494834,0.275502970101629,0.027917324026221,0.348825869060511,0.141962920578864
